issueno,month,year,skater,trick,obstacle,detailer,staircount,spot,location,notes,special,soty
338,june,2008,chris haslam,sw crail,transition,quarterpipe,,,australia,,,
339,july,2008,rune glifberg,bs crook,transition,bowl,,,,,,
340,august,2008,jamie tancowny,bs bigspin,gap,,,Cobra Golf (water) Gap,"Carlsbad, CA",,,
341,september,2008,mike carroll,bs tuckknee,transition,park,,,,,,
342,october,2008,billy marks,kickflip,gap,5 block,16,,,,,
343,november,2008,david reyes,kickflip to bs wallride,wall,,,ditch,,combo,,
344,december,2008,christian hosoi,tailgrab,transition,bowl,,,,,,
345,special issue,2008,silas baxter-neal,bs disaster,transition,street transition,,,,13th issue,,
346,january,2009,tony trujillo,indie to fakie,transition,street transition,,,,,,
347,february,2009,cairo foster,bs crooked grind,rail,,,,,,,
348,march,2009,omar salazar,fs noseblunt,ledge,,,,,,,
349,april,2009,silas baxter-neal,bs smith,rail,handrail,,,,,,soty
350,may,2009,"ryan decenzo, scott decenzo","fs kickflip, fs boardslide","gap, rail",handrail,13,,,questionable,,
351,june,2009,don nguyen,kickflip,stairs,over rail,20,,,,,
352,july,2009,justin brock,fs kickflip,gap,bank to bank,,ditch,,,,
353,august,2009,chris cole,bs 360,gap,4 block,,Wallenberg,"San Francisco, CA",,,
354,september,2009,james brockman,fs blunt,ledge,hubba,12,,,,,
355,october,2009,sean malto,bs noseblunt,ledge,hubba,11,Stanford Hubba,"Palo Alto, CA",,,
356,november,2009,geoff rowley,impossible,gap,roof gap,,,,,,
357,december,2009,emmanuel guzman,bs smith,rail,handrail,12,,,,,
358,special issue,2009,antwuan dixon, ,portrait,,,,,13th issue,,
359,january,2010,sammy baca,crailslide,transition,bowl,,,,,,
360,february,2010,nick trapasso,fs 180,gap,over rail,16,,,,,
361,march,2010,chima ferguson,sw bs tailslide,ledge,hubba,12,Clipper,"San Francisco, CA",,,
362,april,2010,chris cole,fs blunt to fakie,rail,handrail,,Rincon,,,,soty
363,may,2010,figgy,bs smith,rail,handrail,14,,,,,
364,june,2010,david gonzales,bs crook,rail,,,ditch,,,,
365,july,2010,dave bachinsky,bs lipslide,rail,handrail,5 flat 4,,,,,
366,august,2010,eli reed,fs hurricane,transition,pool,,,,,,
367,september,2010,leo romero,fs smith,rail,handrail,9,,,sickk,,
368,october,2010,andrew reynolds,fakie kickflip,gap,,6 block,,,,,
369,november,2010,alex olson,bs boardslide,rail,handrail,up,,,up!,,
370,december,2010,james hardy,fs noseblunt,rail,handrail,17,patrick henry high,"San Diego, CA",,,
371,january,2011,grant taylor,fs ollie,transition,pool,,,,,,
372,february,2011,grant taylor,gap to bs 5050,rail,handrail,12,,,kotr,,
373,march,2011,ben raemers,fs invert,transition,pool,,,,,,
374,april,2011,leo romero,bs boardslide,rail,handrail,9,,,from top,,soty
375,may,2011,tommy sandoval,fs kickflip,gap,over rail,12,,,,,
376,june,2011,figgy,sw bs 5050,rail,handrail,12,,australia,,,
377,july,2011,jaws,ollie,stairs,,20,,,,,
378,august,2011,torey pudwill,bs smith,ledge,out ledge,,,,,,
379,september,2011,jason dill,nosegrind tailgrab,transition,pool,,east coast pool,"Pittsburgh, PA",,,
380,october,2011,ryan mcwhirter,thruster,transition,house,,living room,,,,
